Tool, Runtime
RefactoringMiner 2.0, 1413
RefactoringMiner 2.0, 61
RefactoringMiner 2.0, 30
RefactoringMiner 2.0, 120
RefactoringMiner 2.0, 708
RefactoringMiner 2.0, 146
RefactoringMiner 2.0, 110
RefactoringMiner 2.0, 20
RefactoringMiner 2.0, 52
RefactoringMiner 2.0, 95
RefactoringMiner 2.0, 68
RefactoringMiner 2.0, 126
RefactoringMiner 2.0, 138
RefactoringMiner 2.0, 557
RefactoringMiner 2.0, 125
RefactoringMiner 2.0, 446
RefactoringMiner 2.0, 102
RefactoringMiner 2.0, 480
RefactoringMiner 2.0, 82
RefactoringMiner 2.0, 113
RefactoringMiner 2.0, 70
RefactoringMiner 2.0, 16
RefactoringMiner 2.0, 97
RefactoringMiner 2.0, 33
RefactoringMiner 2.0, 53
RefactoringMiner 2.0, 4538
RefactoringMiner 2.0, 29
RefactoringMiner 2.0, 39
RefactoringMiner 2.0, 4328
RefactoringMiner 2.0, 63
RefactoringMiner 2.0, 33
RefactoringMiner 2.0, 4314
RefactoringMiner 2.0, 44
RefactoringMiner 2.0, 75
RefactoringMiner 2.0, 34
RefactoringMiner 2.0, 49
RefactoringMiner 2.0, 112
RefactoringMiner 2.0, 123
RefactoringMiner 2.0, 337
RefactoringMiner 2.0, 25
RefactoringMiner 2.0, 3445
RefactoringMiner 2.0, 24
RefactoringMiner 2.0, 34
RefactoringMiner 2.0, 17
RefactoringMiner 2.0, 37
RefactoringMiner 2.0, 30
RefactoringMiner 2.0, 26
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 119
RefactoringMiner 2.0, 8
RefactoringMiner 2.0, 12
RefactoringMiner 2.0, 75
RefactoringMiner 2.0, 20
RefactoringMiner 2.0, 65
RefactoringMiner 2.0, 98
RefactoringMiner 2.0, 38
RefactoringMiner 2.0, 13
RefactoringMiner 2.0, 243
RefactoringMiner 2.0, 32
RefactoringMiner 2.0, 280
RefactoringMiner 2.0, 19
RefactoringMiner 2.0, 23
RefactoringMiner 2.0, 33
