Tool, Runtime
RefDiff 2.0, 4313
RefDiff 2.0, 212
RefDiff 2.0, 100
RefDiff 2.0, 539
RefDiff 2.0, 719
RefDiff 2.0, 595
RefDiff 2.0, 429
RefDiff 2.0, 69
RefDiff 2.0, 164
RefDiff 2.0, 77
RefDiff 2.0, 56
RefDiff 2.0, 226
RefDiff 2.0, 215
RefDiff 2.0, 1812
RefDiff 2.0, 218
RefDiff 2.0, 1512
RefDiff 2.0, 208
RefDiff 2.0, 1562
RefDiff 2.0, 189
RefDiff 2.0, 337
RefDiff 2.0, 230
RefDiff 2.0, 75
RefDiff 2.0, 451
RefDiff 2.0, 82
RefDiff 2.0, 102
RefDiff 2.0, 192
RefDiff 2.0, 54
RefDiff 2.0, 96
RefDiff 2.0, 153
RefDiff 2.0, 173
RefDiff 2.0, 59
RefDiff 2.0, 48
RefDiff 2.0, 79
RefDiff 2.0, 263
RefDiff 2.0, 60
RefDiff 2.0, 142
RefDiff 2.0, 103
RefDiff 2.0, 528
RefDiff 2.0, 1944
RefDiff 2.0, 70
RefDiff 2.0, 92
RefDiff 2.0, 56
RefDiff 2.0, 94
RefDiff 2.0, 41
RefDiff 2.0, 126
RefDiff 2.0, 77
RefDiff 2.0, 93
RefDiff 2.0, 147
RefDiff 2.0, 305
RefDiff 2.0, 45
RefDiff 2.0, 63
RefDiff 2.0, 386
RefDiff 2.0, 39
RefDiff 2.0, 252
RefDiff 2.0, 373
RefDiff 2.0, 169
RefDiff 2.0, 71
RefDiff 2.0, 66
RefDiff 2.0, 132
RefDiff 2.0, 1964
RefDiff 2.0, 81
RefDiff 2.0, 111
RefDiff 2.0, 147
RefDiff 2.0, 4009
RefDiff 2.0, 322
RefDiff 2.0, 475
RefDiff 2.0, 188
RefDiff 2.0, 612
RefDiff 2.0, 81
RefDiff 2.0, 88
RefDiff 2.0, 123
RefDiff 2.0, 293
RefDiff 2.0, 94
RefDiff 2.0, 214
RefDiff 2.0, 55
RefDiff 2.0, 117
RefDiff 2.0, 234
RefDiff 2.0, 31
